key,title,author_name,first_publish_year,page_count
/works/OL21580088W,The Sicilian's Stolen Son,['Lynne Graham'],2016,192.0
/works/OL20035748W,Kings rising,['C. S. Pacat'],2016,368.0
/works/OL20060401W,All the missing girls,['Megan Miranda'],2016,400.0
/works/OL17846581W,Star Wars - Aftermath - Life Debt,['Chuck Wendig'],2016,397.0
/works/OL17358868W,Sea Spell,['Jennifer Donnelly'],2016,368.0
/works/OL17876107W,This Savage Song,['V.E. Schwab'],2016,432.0
/works/OL19670923W,Underground airlines,['Ben H. Winters'],2016,336.0
/works/OL20044349W,"Diary of a Minecraft Zombie, Book 10",['Zack Zombie'],2016,180.0
/works/OL17812663W,Wish,"[""Barbara O'Connor""]",2016,227.0
/works/OL19665045W,When we collided,['Emery Lord'],2016,352.0
/works/OL21274250W,Leonetti's Housekeeper Bride,['Lynne Graham'],2016,192.0
/works/OL17337353W,Poor Unfortunate Soul,['Serena Valentino'],2016,208.0
/works/OL17355446W,Bay of Sighs,['Nora Roberts'],2016,352.0
/works/OL21580696W,Married for Convenience,['Helen Bianchin'],2016,560.0
/works/OL20030224W,Age of myth,['Michael J. Sullivan'],2016,409.0
/works/OL20033072W,Towers falling,['Jewell Parker Rhodes'],2016,242.0
/works/OL17824232W,Mr. Lemoncello's Library Olympics,['Chris Grabenstein'],2016,288.0
/works/OL19347181W,Apprentice in Death,['Nora Roberts'],2016,512.0
/works/OL21203117W,Airport - Code Red,['James Patterson'],2016,144.0
/works/OL17355447W,The Obsession,['Nora Roberts'],2016,470.0
/works/OL18020219W,Another Brooklyn,['Jacqueline Woodson'],2016,192.0
/works/OL20039481W,Our chemical hearts,['Krystal Sutherland'],2016,320.0
/works/OL19385981W,Invisible Planets,['Ken Liu'],2016,384.0
/works/OL20020529W,Dark Promises,['Christine Feehan'],2016,383.0
/works/OL21578857W,Latin Lovers,['Helen Bianchin'],2016,560.0
/works/OL17357665W,Hillbilly Elegy,['J. D. Vance'],2016,272.0
/works/OL17800588W,Star Wars - Catalyst - A Rogue One Novel,['James Luceno'],2016,432.0
/works/OL21163018W,Halo,['Kelly Gay'],2016,336.0
/works/OL17837368W,Hag-Seed,['Margaret Atwood'],2016,320.0
/works/OL20247412W,A House Without Windows,['Nadia Hashimi'],2016,536.0
/works/OL20033275W,The cartel 6,"['Ashley', 'Ashley & JaQuavis']",2016,154.0
/works/OL20051787W,Chanson douce,['Leïla Slimani'],2016,242.0
/works/OL29515951W,Broken,['Willow Winters'],2016,313.0
/works/OL17606520W,The Widow,['Fiona Barton'],2016,401.0
/works/OL20168060W,FantasticLand,['Mike Bockoven'],2016,272.0
/works/OL19857119W,Criminal Destiny,['Gordon Korman'],2016,311.0
/works/OL20040867W,The Battle of Hackham Heath,['John Flanagan'],2016,357.0
/works/OL21578846W,Mistress Arrangements,['Helen Bianchin'],2016,544.0
/works/OL18818747W,Moonglow,['Michael Chabon'],2016,480.0
/works/OL20026390W,"Paper girls, Vol. 1","['Brian K. Vaughan', 'Cliff Chiang']",2016,144.0
/works/OL20026899W,Tell the wind and fire,['Sarah Rees Brennan'],2016,368.0
/works/OL17758718W,Island of Glass,['Nora Roberts'],2016,352.0
/works/OL17595792W,Barkskins,['Annie Proulx'],2016,736.0
/works/OL17639867W,Bad Blood,['Jennifer Lynn Barnes'],2016,384.0
/works/OL19527950W,"The Beauty of Darkness: The Remnant Chronicles, Book Three",['Mary E. Pearson'],2016,688.0
/works/OL20112580W,Thirteen,['Steve Cavanagh'],2016,368.0
/works/OL20037333W,A Study in Scarlet Women,['Sherry Thomas'],2016,162.0
/works/OL17943716W,Labyrinth Lost,['Zoraida Córdova'],2016,336.0
/works/OL17904127W,A Forbidden Temptation,['Anne Mather'],2016,191.0
/works/OL20894202W,Morelli's Mistress,['Anne Mather'],2016,192.0
/works/OL21604369W,Black Suits You,['Novoneel Chakraborty'],2016,304.0
/works/OL17616112W,Stiletto,"[""Daniel O'Malley""]",2016,544.0
/works/OL20027231W,Juliet takes a breath,"['Gabby Rivera', 'Gaby Rivera']",2016,320.0
/works/OL20039652W,Certain Dark Things,['Silvia Moreno-Garcia'],2016,322.0
/works/OL17900311W,The billionaire's ruthless affair,['Miranda Lee'],2016,234.0
/works/OL18025534W,Chaos,['Patricia Cornwell'],2016,432.0
/works/OL20045220W,Fear Street Novel - The Dead Boyfriend,['Robert Lawrence Stine'],2016,288.0
/works/OL18820886W,The Dark Army,['Joseph Delaney'],2016,394.0
/works/OL17356847W,My Name is Lucy Barton,['Elizabeth Strout'],2016,208.0
/works/OL20120987W,This Tender Land,['William Kent Krueger'],2016,464.0
/works/OL19862137W,The Wrath & the Dawn (The Wrath and the Dawn),['Renée Ahdieh'],2016,432.0
/works/OL17916977W,Pericolo spazzatura spaziale,['Elisabetta Dami'],2016,128.0
/works/OL17620030W,Narwhal,['Ben Clanton'],2016,64.0
/works/OL20030813W,A great reckoning,['Louise Penny'],2016,504.0
/works/OL17686257W,The Mandibles,['Lionel Shriver'],2016,431.0
/works/OL17188714W,Gentleman Jole and the Red Queen,['Lois McMaster Bujold'],2016,344.0
/works/OL32480574W,Bunny vs. Monkey,['Jamie Smart'],2016,240.0
/works/OL21583928W,Irresistible Greeks : Red-Hot and Rich,"['Carole Mortimer', 'Emma Darcy', 'Maisey Yates']",2016,560.0
/works/OL20038343W,IQ,['Joe Ide'],2016,352.0
/works/OL20038408W,Everfair,['Nisi Shawl'],2016,383.0
/works/OL19664128W,Words in deep blue,['Cath Crowley'],2016,352.0
/works/OL19631369W,Dark Carousel,['Christine Feehan'],2016,400.0
/works/OL20161861W,Alex Rider : Secret Weapon,['Anthony Horowitz'],2016,336.0
/works/OL19346566W,Sharp Ends,['Joe Abercrombie'],2016,304.0
/works/OL20021038W,This song is (not) for you,['Laura Nowlin'],2016,230.0
/works/OL17333442W,The Unwanteds,['Lisa McMann'],2016,544.0
/works/OL17640174W,Wolf Hollow,['Lauren Wolk'],2016,278.0
/works/OL17613883W,Judy Moody and the Bucket List,['Megan McDonald'],2016,176.0
/works/OL24336424W,Broken Prince,['Erin Watt'],2016,370.0
/works/OL17359880W,Extreme Prey,"['John Sandford', 'Richard Ferrone']",2016,448.0
/works/OL20028845W,Disappearance at Devil's Rock,"['Paul Tremblay', 'Erin Bennett', 'Manuel de los Reyes']",2016,352.0
/works/OL19664941W,Return to the Isle of the Lost,['Melissa De La Cruz'],2016,309.0
/works/OL20039818W,Goldenhand,['Garth Nix'],2016,421.0
/works/OL20209793W,Once Upon a Dream,['Liz Braswell'],2016,458.0
/works/OL20033774W,Magisterium,"['Holly Black', 'Cassandra Clare']",2016,256.0
/works/OL20022567W,The North water,['Ian McGuire'],2016,336.0
/works/OL17613129W,The Rose & the Dagger,['Renée Ahdieh'],2016,432.0
/works/OL20031490W,The Problem with Forever,['Jennifer L. Armentrout'],2016,304.0
/works/OL19669992W,The Mothers,['Brit Bennett'],2016,296.0
/works/OL20204188W,The Restless Dead,['Simon Beckett'],2016,456.0
/works/OL20895646W,The Greek's Christmas bride,['Lynne Graham'],2016,224.0
/works/OL21580059W,"Billionaire, Boss... Bridegroom?",['Kate Hardy'],2016,256.0
/works/OL17619904W,The Dark Talent,['Brandon Sanderson'],2016,284.0
/works/OL17356862W,The Leaving,['Tara Altebrando'],2016,448.0
/works/OL17610983W,Dog's Best Friend,"['James Patterson', 'Christopher Tebbetts']",2016,256.0
/works/OL18020232W,Escape Clause,['John Sandford'],2016,400.0
/works/OL17857772W,Sting,['Sandra Brown'],2016,416.0
/works/OL19664580W,Spy ski school,['Stuart Gibbs'],2016,350.0
/works/OL17629003W,Upside Down Magic,"['Sarah Mlynowski', 'Lauren Myracle', 'Emily Jenkins']",2016,208.0
/works/OL19548703W,Cruel Crown,['Victoria Aveyard'],2016,176.0
/works/OL17359906W,Bullseye,"['James Patterson', 'Michael Ledwidge']",2016,368.0
/works/OL20033284W,A Promise of Fire,['Amanda Bouchet'],2016,441.0
/works/OL17817538W,Slacker,['Gordon Korman'],2016,230.0
/works/OL18021059W,Dreadnought,"['April Daniels', 'Natasha Soudek']",2016,280.0
/works/OL20031083W,"Nine, ten",['Nora Raleigh Baskin'],2016,208.0
/works/OL20041043W,The nowhere man,['Gregg Andrew Hurwitz'],2016,400.0
/works/OL20167012W,Mistletoe and Murder,['Robin Stevens'],2016,368.0
/works/OL17592068W,The Princess in Black Takes a Vacation,"['Shannon Hale', 'Dean Hale']",2016,96.0
/works/OL20035152W,All the ugly and wonderful things,['Bryn Greenwood'],2016,392.0
/works/OL20885296W,Private Delhi,"['James Patterson', 'Ashwin Sanghi']",2016,400.0
/works/OL19663753W,13 ways of looking at a fat girl,"['Mona Awad', 'Alicia Frieyro Gutiérrez']",2016,228.0
/works/OL21580105W,The Italian's Ruthless Seduction,['Miranda Lee'],2016,192.0
/works/OL20034340W,Princess Princess,"[""Kay O'Neill""]",2016,64.0
/works/OL17722466W,Paris for One and Other Stories,['Jojo Moyes'],2016,328.0
/works/OL17846747W,Rogue One - A Star Wars Story,['Alexander Freed'],2016,325.0
/works/OL17934982W,Days Without End,['Sebastian Barry'],2016,287.0
/works/OL20032927W,The Swarm,"['Orson Scott Card', 'Aaron Johnston']",2016,528.0
/works/OL18188756W,A Million Worlds With You,['Claudia Gray'],2016,416.0
/works/OL17359877W,Off the Grid,"['C. J. Box', 'Chandler, David']",2016,392.0
/works/OL21580081W,The Billionaire's Defiant Acquisition,['Sharon Kendrick'],2016,192.0
/works/OL20019009W,Shadows of the Clans,['Erin Hunter'],2016,286.0
/works/OL17814973W,Revenge of the Cream Puffs,['Lincoln Pierce'],2016,184.0
/works/OL17747219W,I Survived,['Lauren Tarshis'],2016,112.0
/works/OL17724536W,Take the Key and Lock Her Up,['Ally Carter'],2016,336.0
/works/OL20044682W,Let the Wind Rise,['Shannon Messenger'],2016,420.0
/works/OL21141289W,Conclave,['Robert Harris'],2016,352.0
/works/OL20033776W,A torch against the night,['Sabaa Tahir'],2016,464.0
/works/OL17356066W,What We Find,['Robyn Carr'],2016,400.0
/works/OL18020235W,Find Her,['Lisa Gardner'],2016,432.0
/works/OL22705222W,Everyone Has A Story,['Savi Sharma'],2016,186.0
/works/OL20050154W,The burning page,['Genevieve Cogman'],2016,448.0
/works/OL17359196W,The Last One,['Alexandra Oliva'],2016,352.0
/works/OL20689865W,The Night Parade,['Ronald Malfi'],2016,416.0
/works/OL17368404W,Bailey's Story,['W. Bruce Cameron'],2016,208.0
/works/OL17828326W,Evicted,"['Matthew Desmond', 'Enrique Maldonado Rold\x87n']",2016,448.0
/works/OL17904384W,The queen's New Year secret,"['Maisey Yates', 'Rachael Thomas']",2016,192.0
/works/OL20034145W,Girl mans up,['M-E Girard'],2016,384.0
/works/OL20018714W,Back blast,['Mark Greaney'],2016,528.0
/works/OL17639948W,Nutshell,['Ian McEwan'],2016,216.0
/works/OL20034706W,흰,['Han Kang'],2016,152.0
/works/OL18020320W,The Kept Woman,['Karin Slaughter'],2016,560.0
/works/OL17761028W,Conclave,"['Harris, Robert']",2016,304.0
/works/OL20039467W,The Diabolic,['S. J. Kincaid'],2016,416.0
/works/OL19354213W,Behold the Dreamers (Oprah's Book Club): A Novel,"['Imbolo Mbue', 'Sarah Tardy']",2016,416.0
/works/OL19726012W,Sweet bean paste,['Durian Sukegawa'],2016,228.0
/works/OL17355875W,The Hatching,['Ezekiel Boone'],2016,351.0
/works/OL21595097W,Mistresses : in His Bed,"['Lynne Graham', 'Robyn Grady', 'Natalie Anderson']",2016,560.0
/works/OL20894664W,A Dangerous Taste of Passion,['Anne Mather'],2016,224.0
/works/OL19665786W,The other boy,['M. G. Hennessey'],2016,234.0
